,GEOID,stateID,countyID,population_size,age2034,age65up,black,hispanic,asian,white,pct_college_degree_higher,pct_college_grad_student,hhincome,pct_male,pct_female,poverty,mean_commute_time,pct_english_only,pct_foreign_born,median_rent
963,25021420100,25,21,8130,5.8,16,32.7,8130,13.5,41.6,34.5,33.1,74464,47.9,52.1,16.8,35.2,66.1,26,1639
964,25021420201,25,21,3886,4.4,14.8,49.5,3886,11.9,27.7,30.6,34.8,74048,45,55,11.7,39,54,33.5,507
965,25021420202,25,21,6300,7.5,13.2,36.9,6300,12.9,39.7,31,46.3,72616,43.9,56.1,7,38.4,59.5,35.8,1561
966,25021420301,25,21,7177,9.2,17.5,32.6,7177,15.6,34.2,22.7,39.9,62250,46.7,53.3,8.1,35.3,59.5,36.4,846
967,25021420302,25,21,8211,10.7,18.2,44.8,8211,8.3,33.8,26.4,30.3,64738,49.4,50.6,12,34.9,66.9,28.9,1275
968,25021421100,25,21,5457,4.8,15.1,10,5457,3.6,76.4,19.9,42.3,62545,48.2,51.8,7.3,33.2,81.4,15.4,1008
969,25021421200,25,21,5572,4.4,16.7,11.5,5572,7.2,74.2,35.4,37,71629,48.7,51.3,6.1,36.3,79.1,16.5,1117
970,25021422100,25,21,5770,4.7,14.7,2.6,5770,5.2,88.2,37.8,21.3,88571,48.4,51.6,5.6,29.7,89.4,8.5,1492
971,25021422200,25,21,7465,3.1,16.6,2.5,7465,11,82.4,36.1,24.5,77772,47.6,52.4,6.6,32.8,83.9,12.3,1420
972,25021422301,25,21,3199,8.1,13.9,3,3199,0.3,91.3,36.7,32.9,104949,51.9,48.1,2.7,33.2,92.6,5.3,1192
973,25021422302,25,21,6904,3.5,16.9,12.3,6904,6.1,74.1,44.1,30,81443,48.8,51.2,3.5,33.9,79.3,18.8,1521
974,25021422400,25,21,7636,4,21.9,7.7,7636,5.1,80,33.4,31.8,71903,44.8,55.2,5.7,35.2,83.5,12.3,1201
975,25021422501,25,21,5122,7.8,17.7,6.4,5122,1.9,82.5,31.7,18.4,59063,44.3,55.7,17.3,34.9,83.1,8.4,1352
976,25021422502,25,21,5006,8.4,14.7,2.9,5006,5.5,80.8,28.4,31.5,46955,45.1,54.9,10.5,39.3,86.6,11,1093
977,25021422600,25,21,7241,8.5,14.6,3.9,7241,4.5,89.7,33,28.5,80000,44.3,55.7,3.5,32.3,91,7.2,1222
978,25021422700,25,21,3621,5,16.9,0.5,3621,6.7,88.5,34.5,21.7,74583,46.1,53.9,7,31.1,91,6.9,1361
979,25021422800,25,21,3926,4.8,21.4,0.5,3926,8,89.9,40.4,26.5,75104,48.6,51.4,4.2,36.5,92.2,7.9,1396
980,25021423100,25,21,8393,3.8,17.3,0.1,8393,0.7,97.7,73.3,13.8,140000,48.7,51.3,3.8,37.1,94.3,2.9,1496
981,25021440100,25,21,9000,5.2,14.5,0.7,9000,2,95.3,41.5,22.7,93889,48.7,51.3,6.2,27.6,96.4,3.6,1290
982,25021441202,25,21,2999,4.8,10.6,0.2,2999,1.9,95.5,61.3,18.5,150268,50.5,49.5,4.6,40.2,95.3,8.1,1146
983,25021441203,25,21,3974,5,17.9,1.2,3974,0.2,97.4,39.5,22.3,95020,46.9,53.1,6,30.3,96.2,3.3,1087
984,25021441204,25,21,4624,4,11.5,3.9,4624,0.5,90.3,49.8,26.3,100000,48.5,51.5,4.5,36.9,91.6,7.8,1100
985,25021442101,25,21,5780,9.7,10.4,2,5780,7.2,86.1,56,44.1,102063,50,50,3.2,31.9,90.2,10.4,1221
986,25021442102,25,21,7019,4,12,0,7019,6.1,89.1,59,19.5,123750,49.6,50.4,2.2,37,87.3,8,967
987,25021442103,25,21,7304,6.4,9,1.8,7304,7.5,85.8,63,13.4,140882,50.2,49.8,4.1,35.8,89.8,6.2,
988,25021442201,25,21,4206,6,10.4,0,4206,4.1,93,64.4,21.2,139295,50.1,49.9,2.8,37.6,91.6,7.6,1632
989,25021442202,25,21,8534,6.1,15.6,0.4,8534,3.2,91.6,44.1,22.8,84480,46.4,53.6,7.8,32.4,91.5,7.2,1031
990,25021443101,25,21,7947,7.2,15,1.9,7947,3.5,90.5,27.7,31.9,93875,49.1,50.9,2.1,32.3,89.2,8.6,1516
991,25021443102,25,21,8982,4.4,11.3,1.1,8982,2.6,92.5,33.2,17.6,98587,50.8,49.2,6,35.8,91.5,5.7,1181
992,25021456101,25,21,4209,2.3,19.6,18,4209,5.5,72.1,35.6,12.3,109735,45.3,54.7,2.9,34.7,78.5,15.4,1475
993,25021456102,25,21,4982,5.7,15.1,14.2,4982,1.4,70.6,36.9,22.7,66497,50.3,49.7,8.2,35.5,74.2,22.3,1179
994,25021456200,25,21,3863,6.9,17.1,17,3863,8.4,63.5,33.4,41.5,85072,43.9,56.1,5.8,29.1,68.5,26,1548
995,25021456301,25,21,1922,4.6,9.9,13.5,1922,5,67.4,36.6,23,46786,50.7,49.3,22.8,37.1,65.3,29.1,1216
996,25021456302,25,21,5189,7.1,25.2,12.8,5189,3.9,72.9,35.7,36.9,57426,48,52,15.2,35.2,82,19.4,1417
997,25021456401,25,21,2699,5.1,17.3,12,2699,1.8,79.7,33.6,23.6,87857,50.1,49.9,4.7,35.3,70.3,21.8,1250
998,25021456402,25,21,5474,5.6,16.7,11.2,5474,3.1,80.3,42.5,27.1,109435,49.9,50.1,4.3,35.5,80.5,11.9,
999,25021457100,25,21,4468,5.8,16,11.4,4468,8.7,71.4,26.1,32.3,69709,50.9,49.1,8.5,32.6,75.2,15.5,1116
